"title","noise_denom","n","true_beta_range","noise_coef","sd","alpha","location"
"diff_hist_beta20291.png","1","100","-20,20","0.1","17","0.1","median"
"diff_hist_beta20292.png","1","100","-20,20","0.1","17","0.1","mean"
"diff_hist_beta20293.png","1","100","-20,20","0.1","17","0.5","median"
"diff_hist_beta20294.png","1","100","-20,20","0.1","17","0.5","mean"
"diff_hist_beta20295.png","1","100","-20,20","0.1","17","1","median"
"diff_hist_beta20296.png","1","100","-20,20","0.1","17","1","mean"
"diff_hist_beta20297.png","1","100","-20,20","0.1","18","0.01","median"
"diff_hist_beta20298.png","1","100","-20,20","0.1","18","0.01","mean"
"diff_hist_beta20299.png","1","100","-20,20","0.1","18","0.1","median"
"diff_hist_beta20300.png","1","100","-20,20","0.1","18","0.1","mean"
"diff_hist_beta20301.png","1","100","-20,20","0.1","18","0.5","median"
"diff_hist_beta20302.png","1","100","-20,20","0.1","18","0.5","mean"
"diff_hist_beta20303.png","1","100","-20,20","0.1","18","1","median"
"diff_hist_beta20304.png","1","100","-20,20","0.1","18","1","mean"
"diff_hist_beta20305.png","1","100","-20,20","0.1","19","0.01","median"
"diff_hist_beta20306.png","1","100","-20,20","0.1","19","0.01","mean"
"diff_hist_beta20307.png","1","100","-20,20","0.1","19","0.1","median"
"diff_hist_beta20308.png","1","100","-20,20","0.1","19","0.1","mean"
"diff_hist_beta20309.png","1","100","-20,20","0.1","19","0.5","median"
"diff_hist_beta20310.png","1","100","-20,20","0.1","19","0.5","mean"
"diff_hist_beta20311.png","1","100","-20,20","0.1","19","1","median"
"diff_hist_beta20312.png","1","100","-20,20","0.1","19","1","mean"
"diff_hist_beta20313.png","1","100","-20,20","0.1","20","0.01","median"
"diff_hist_beta20314.png","1","100","-20,20","0.1","20","0.01","mean"
"diff_hist_beta20315.png","1","100","-20,20","0.1","20","0.1","median"
"diff_hist_beta20316.png","1","100","-20,20","0.1","20","0.1","mean"
"diff_hist_beta20317.png","1","100","-20,20","0.1","20","0.5","median"
"diff_hist_beta20318.png","1","100","-20,20","0.1","20","0.5","mean"
"diff_hist_beta20319.png","1","100","-20,20","0.1","20","1","median"
"diff_hist_beta20320.png","1","100","-20,20","0.1","20","1","mean"
"diff_hist_beta20321.png","1","100","-20,20","0.5","1","0.01","median"
"diff_hist_beta20322.png","1","100","-20,20","0.5","1","0.01","mean"
"diff_hist_beta20323.png","1","100","-20,20","0.5","1","0.1","median"
