"Hetero_pwr","median","var"
1.55,-1.44978693728313e-30,5.95935444576894e-60
1.56,-8.80118208281628e-30,4.37918494569285e-57
1.57,-5.93969490579217e-31,2.08105762983935e-60
1.58,1.75077730091289e-13,9.44240331371531e-26
1.59,-6.82121026329696e-16,6.54597740630912e-27
1.6,-1.10244507121946e-30,1.29681288735779e-59
1.61,-1.00953911896795e-13,5.34914269494064e-27
1.62,-2.97685907048882e-30,9.56443926369629e-60
1.63,-2.05190088669283e-29,5.52873999597643e-58
1.64,-2.08911407524201e-30,7.79945670517992e-60
1.65,-2.02646788238781e-14,8.50377063838659e-27
1.66,6.83257894706912e-14,4.77631468694109e-26
1.67,1.94972926692572e-14,4.5842923719917e-27
1.68,4.73846739623696e-13,8.00293102601948e-26
1.69,-6.24867696204015e-30,3.58454108951782e-59
1.7,2.19415596802719e-14,7.42329264711078e-26
1.71,-4.80206728531232e-30,2.04665267076939e-59
1.72,-3.78772727211704e-29,3.86444295872547e-57
1.73,-3.32192939822562e-13,9.3434511084311e-26
1.74,-4.55570490911317e-29,2.04502022987617e-57
1.75,-9.85961469361096e-30,5.11255401578536e-59
1.76,9.55321600275318e-30,3.36225628535492e-59
1.77,5.88329385209363e-14,4.5358619536747e-26
1.78,2.36468622460961e-14,5.27950716989989e-26
1.79,1.69734448718373e-13,1.83449320687903e-26
1.8,-1.97352241583729e-29,2.04825900240803e-57
1.81,-3.73092356769956e-30,7.00106432125802e-59
1.82,-5.57546403311174e-29,4.25607024411493e-57
1.83,-2.00512467673851e-30,5.07165940093372e-59
1.84,6.3664629124105e-15,1.48635827586981e-26
1.85,-7.60067482180445e-29,7.69742231868092e-57
1.86,-1.25204874550152e-29,1.26786848292717e-58
1.87,1.99509628248088e-29,1.22655735916723e-56
1.88,-1.0371900842202e-29,1.13411077932882e-58
1.89,-1.34036781673785e-13,1.12957958173726e-25
1.9,-1.68517541396296e-29,7.77969596987426e-57
1.91,-7.11679604137316e-14,1.92010541701803e-26
1.92,-2.19756657315884e-13,1.26821306518046e-25
1.93,4.62634764969474e-29,1.79279095340849e-56
1.94,-9.46673968981627e-29,7.78719010319127e-57
1.95,9.53417487265342e-30,7.54795651473719e-57
1.96,-1.01515576316401e-29,1.30920920377048e-58
1.97,-9.4496920605278e-30,1.09146988115573e-58
1.98,1.98951966012828e-14,1.92043015164915e-26
1.99,-5.49724673639989e-30,1.54201073474182e-58
2,-5.4585560672272e-30,1.49133762371854e-58
2.01,1.37390543386573e-13,2.79812252450248e-27
2.02,-2.28099993561271e-29,2.70084847234115e-58
2.03,-3.40605765813962e-13,6.77929988564825e-26
2.04,-5.64408493551918e-30,8.97807186652759e-59
2.05,4.27462509833276e-14,4.75926935321614e-26
2.06,8.10838077002403e-30,2.04895024225279e-58
2.07,-1.33656529622197e-28,1.94627496802347e-56
2.08,3.86535248253494e-13,3.94339105834214e-26
2.09,3.75166564481333e-14,2.61741287733989e-26
2.1,8.27640178613365e-14,2.97953934277809e-25
2.11,-1.92699189938139e-13,7.36148180354012e-26
2.12,-4.52132553618867e-13,1.38852789289095e-25
2.13,-8.48390321281252e-31,1.49754568179952e-58
2.14,-4.22915036324412e-14,4.76831534740246e-26
2.15,-2.53521648119204e-13,1.68177607304774e-25
2.16,1.98951966012828e-14,1.01849912017442e-25
2.17,5.81191146927517e-29,2.86583490815567e-56
2.18,2.02433837016129e-30,2.15900504359294e-58
2.19,-1.30685040475801e-28,2.20829745326926e-56
2.2,1.7526361361719e-29,1.05564701849766e-58
2.21,-1.32502358078605e-28,2.39075731577427e-56
2.22,3.6652636481449e-13,1.81362868338891e-26
2.23,3.02179614664055e-13,6.91779985270128e-26
2.24,4.25301685971618e-29,7.30299212070123e-57
2.25,-1.03000274975784e-13,3.4102523498351e-25
2.26,3.2991920306813e-13,1.29252094014754e-25
2.27,-2.18278728425503e-13,1.80112575320918e-25
2.28,7.38879733367669e-29,1.22663501734154e-56
2.29,-1.27416280930187e-28,1.28443746164312e-56
2.3,-9.98224330621684e-30,2.48493663430716e-58
2.31,-4.65807474783421e-30,5.42114535384796e-59
2.32,-1.36771954329359e-29,5.71161775580098e-58
2.33,2.20552465179935e-13,2.99278541069533e-25
2.34,2.76164216158594e-30,2.75761629047932e-58
2.35,-3.64952862216495e-30,2.22489031812162e-58
2.36,-8.05842861839124e-30,3.36313889931243e-58
